Year,Event Name,Country,Longitude,Latitude,Date (UTC),Time (UTC),Magnitude,Focal depth (km),People injured,People killed,People injured string,People killed string,Buildings destroyed,Buildings damaged,Dwellings Destroyed,Dwellings damaged,People homeless,People homeless string,Direct economic loss (USD millions),Event narrative
2011,Tohoku,Japan,142.86,38.103,"March 11th,2011",5:46:00,9,24,6194,18131,"6,194","18,131",129391,1066322,0,0,450000,"450,000",211753,
2011,Van Center,Turkey,43.36,38.75,"October 23rd, 2011",10:41:21,7.2,5,4152,604,"4,152",604,0,0,41322,80793,60000,"60,000",850,
2011,Christchurch,New Zealand,172.68,-43.583,"February 21st,2011",23:51:00,6.1,5,7133,185,"7,133",185,9200,146000,9000,148000,40000,"40,000",16000,
2010,Port-au-Prince,Haiti,-72.57,18.45,"January 12th, 2010",21:53:00,7,13,300000,230000,"300,000","230,000",58562,51941,105000,208000,1300000,"1,300,000","4,245.3",
2010,Southern Qinghai,China,96.67,33.22,"April 12rd, 2010",23:49:00,6.9,17,12135,2698,"12,135","2,698",0,15000,15000,0,100000,"100,000",6445,
2010,Maule (Bio-Bio),Chile,-72.733,-35.909,"February 27th, 2010",6:34:14,8.8,35,12000,521,"12,000",521,54,0,190358,179693,2000000,"2000,000",30000,
2010,Darfield,New Zealand,172.12,-43.53,"September 3rd, 2010",16:35:00,7,5,2256,0,"2,256",0,3000,120000,3000,134000,7000,"7,000",6500,
2009,Samoa,Samoa,-172.03,-15.51,"September 29th, 2009",17:48:10,8,18,700,184,700,184,833,3642,832,3474,8600,"8,600",244,
2009,Padang,Indonesia,99.856,-0.725,"September 30th, 2009",10:16:00,7.6,81,2902,1117,"2,902","1,117",2013,4658,114797,135036,1250000,"1,250,000","2,133.3",
2009,L'Aquila,Italy,13.33,42.33,"April 6th, 2009",1:32:00,6.3,8.8,1550,308,"1,550",308,3893,69591,0,0,49091,"49,091",10212,
2008,Wenchuan,China,103.364,30.9858,"May 12th, 2008",6:28:00,7.9,19,374176,69196,"374,176","69,196",6000000,23143000,1895540,6144430,4800000,"4,800,000",141000,
2007,Pisco,Peru,-76.509,-13.354,"August 15th, 2007",23:40:00,8,39,2615,595,"2,615",595,58581,13585,0,0,0,0,800,
2006,South of Java,Indonesia,107.41,-9.25,"July 17th, 2006",8:19:28,7.7,34,9299,668,"9,299",668,1488,176,1098,110,5172,"5,172",54.72,
2006,Yogyakarta,Indonesia,110.446,-7.961,"May 26th, 2006",22:53:00,6.3,17.1,38568,5778,"38,568","5,778",157000,480000,248959,767067,562914,"562,914",2446,
2005,Kashmir,Pakistan,73.58,34.47,"October 8th, 2005",3:50:00,7.6,23.1,134589,74551,"134,589","74,551",0,0,489860,175067,3500000,"3,500,000","6,195.05",
2004,Niigata-ken Chuetsu,Japan,138.801,37.23,"October 23rd, 2004",8:56:00,6.8,13,4805,68,"4,805",68,3175,164404,3138,130083,103000,"103,000",15460,
2004,"Banda Aceh, Sumatra",Indonesia,95.97,3.29,"December 26th, 2004",0:58:00,9,30,100000,177780,"100,000","177,780",0,0,365000,320000,2050000,"2,050,000","10,995.55",
2004,Al Hoceima,Morocco,-3.96,35.23,"February 24th, 2004",2:27:00,6.5,1.7,1100,628,"1,100",628,0,0,2539,10427,15230,"15,230",400,
2003,Lefkada Island,Greece,20.62,38.94,"August 14th, 2003",5:14:00,6.3,11,50,0,50,0,211,3805,0,0,300,300,0.87,
2003,Bingol,Turkey,40.51,38.94,"January 5th, 2003",0:27:00,6.4,6,520,184,520,184,0,0,6385,18360,0,0,0,
2003,Boumerdes,Algeria,3.69,5/21/2003 ,"May 21st, 2003",18:44:00,6.8,12,11450,2278,"11,450","2,278",23072,73972,19000,109500,180000,"180,000",5000,
2003,Bam,Iran,58.26,28.95,"December 26th, 2003",1:56:54,6.6,10,23620,26271,"23,620","26,271",0,0,17182,490,75600,"75,600",0,
2002,Molise,Italy,14.85,41.74,"October 31st, 2002",10:33:00,5.7,5.7,229,30,229,30,5000,9200,0,0,12000,"12,000",1360,
2001,San Miguel,El Salvador,-88.66,13.049,"January 13th, 2001",17:33:00,7.7,60,5565,944,"5,565",944,0,1155,108261,169792,1364160,"1,364,160",753,
2001,Gujarat (Bhuj),India,70.29,23.4,"January 26th, 2001",3:16:00,7.6,23.3,166812,13830,"166,812","13,830",1228,2758,378286,968879,1790000,"1,790,000",4405,
2001,San Salvador,El Salvador,-88.938,13.671,"February 13th, 2001",14:22:00,6.6,10,3299,315,"3,299",315,0,82,41302,15706,252622,"252,622",185.4,
1999,Kocaeli-Golcuk,Türkiye,29.91,40.7,"August 17th, 1999",0:02:00,7.5,16,43953,17480,"43,953","17,480",0,0,77342,167041,300000,"300,000",11400,
1999,Athens,Greece,23.6,38.12,"September 7th, 1999",11:56:00,6,10,2006,143,"2,006",143,4682,59667,5800,190000,15000,"15,000",3395,
1999,Armenia,Colombia,-75.659,4.44,"January 25th, 1999",18:19:00,6.1,17,8523,1185,"8,523","1,185",19061,25798,35972,43474,160397,"160,397",1668,
1999,Chi-Chi,"Taiwan, China",120.877,23.819,"September 20th, 1999",17:47:12,7.7,21,11305,2465,"11,305","2,465",38935,45320,0,0,106991,"106,991",8338,
1999,Duzce-Kaynasli,Türkiye,31.21,40.79,"December 11th, 1999",16:57:00,7.2,11,4948,763,"4,948",763,0,0,35519,97977,0,0,0,
1998,Adana-Ceyhan,Türkiye,35.55,36.85,"june 27th, 1998",13:56:00,5.9,15,1500,145,"1,500",145,0,0,10905,72032,0,0,0,
1997,Cariaco,Venezuela,-63.532,10.465,"July 9th, 1997",19:23:00,6.9,10,531,81,531,81,3,0,0,0,3000,"3,000",40,
1995,Neftegorsk,Russia,142.82,52.6,"May 27th, 1995",13:03:00,7,11,750,2032,750,"2,032",24,0,1424,0,1000,"1,000",100,
1995,Aigion,Greece,22.31,38.44,"June 15th, 1995",0:15:00,6.5,14,200,26,200,26,2000,6155,0,0,15000,"15,000",660,
1995,Kobe,Japan,135,34.6,"January 16th, 1995",20:46:00,7.3,16,43792,5546,"43,792","5,546",104906,639686,186175,460357,0,0,96000,
1994,Northridge,USA,-118.54,34.21,"January 17th, 1994",4:30:55,6.7,18,7000,33,"7,000",33,3000,14500,0,0,20000,"20,000",24000,
1993,Latur-Killari,India,76.478,18.06,"September 30th, 1993",22:25:00,6.2,14.1,16000,8311,"16,000","8,311",30000,211000,28000,197000,300000,"300,000",364,
1992,Erzincan,Türkiye,39.51,39.63,"March 13th, 1992",17:18:00,6.8,27,497,653,497,653,0,0,6702,24492,0,0,736.5,
